term,preferred_label,figures,panels,figure_roles,main_or_supplementary,abc_role,abc_subrole,domain,concept_family,node_level,atlas_layer,analysis_tier,include_primary,dictionary_hit_present,corpus_hit_n,corpus_hit_pct,outcomes_supported,outcome_support_vector,total_outcome_cohit_articles,max_outcome_cohit_articles,dominant_outcome,selection_rules,provenance_notes,cohit_AE.ILD,cohit_progression,cohit_mortality
AE-ILD,Acute exacerbation of ILD,Figure 3;Figure 5,Figure 3:B;Figure 3:B/C;Figure 5:Main,AE-ILD ABC triad component;AE-ILD bridge network node;AE-ILD bridge network edge endpoint;free-layout network node;free-layout network edge endpoint,main,C,C_primary_worsening_outcome,clinical_outcome,AE_ILD,specific,primary_atlas,main,TRUE,TRUE,22,1.47,3,AE-ILD=22; progression=3; mortality=16,41,22,AE-ILD,"Conservative AE-ILD ABC triads from primary disease-state atlas with prespecified support filters.;Displayed nodes in AE-ILD bridge atlas.;Displayed edge endpoints in AE-ILD bridge atlas.;Biomarker/molecular free-layout network nodes selected from dictionary scope and article-level support metrics.;Biomarker-outcome, biomarker-bridge and bridge-outcome network edge endpoints selected by article-level co-mention thresholds.","Clinical outcome node; used as target outcome, not interpreted as an upstream signal.",22,3,16
CRP_ESR,CRP ESR,Figure 3;Figure 4;Figure 6,Figure 3:C;Figure 4:C;Figure 6:Integrated summary,AE-ILD-only evidence term;shared/outcome-facing bridge summary term;displayed shared/outcome-facing term;assigned integrated summary term;integrated term-outcome evidence,main,B,B_bridge_concept,RA_disease_activity,systemic_inflammation,specific,primary_atlas,main,TRUE,TRUE,152,10.18,3,AE-ILD=1; progression=25; mortality=33,59,33,mortality,"AE-ILD-only bridge evidence combining ABC, co-mention and signed wording support.;Summary of shared and outcome-facing progression/mortality bridge concepts.;Integrated summary terms assigned by all-three-outcome sharedness, two-outcome dagger rule and outcome-facing support.;All terms assigned to shared/outcome-facing categories by data-driven rules.;Term-outcome evidence underlying integrated Figure 6 summary.",Displayed according to current dictionary metadata and figure-specific support rules.,1,25,33
ILD_extent_severity,ILD extent severity,Figure 6,Figure 6:Integrated summary,assigned integrated summary term;integrated term-outcome evidence,main,B,B_ILD_phenotype_or_extent,ILD_phenotype,severity_extent,aggregate,sensitivity,sensitivity,FALSE,TRUE,61,4.09,3,AE-ILD=1; progression=19; mortality=22,42,22,mortality,All terms assigned to shared/outcome-facing categories by data-driven rules.;Term-outcome evidence underlying integrated Figure 6 summary.,Displayed according to current dictionary metadata and figure-specific support rules.,1,19,22
hospitalization,hospitalization,Figure 6,Figure 6:Integrated summary,assigned integrated summary term;integrated term-outcome evidence,main,C,C_secondary_severe_outcome,clinical_outcome,healthcare_utilization,specific,sensitivity,sensitivity,FALSE,TRUE,42,2.81,3,AE-ILD=1; progression=4; mortality=32,37,32,mortality,All terms assigned to shared/outcome-facing categories by data-driven rules.;Term-outcome evidence underlying integrated Figure 6 summary.,Displayed according to current dictionary metadata and figure-specific support rules.,1,4,32
respiratory_failure,respiratory failure,Figure 6,Figure 6:Integrated summary,assigned integrated summary term;integrated term-outcome evidence,main,C,C_secondary_severe_outcome,clinical_outcome,severe_outcome,specific,sensitivity,sensitivity,FALSE,TRUE,22,1.47,3,AE-ILD=2; progression=8; mortality=19,29,19,mortality,All terms assigned to shared/outcome-facing categories by data-driven rules.;Term-outcome evidence underlying integrated Figure 6 summary.,Displayed according to current dictionary metadata and figure-specific support rules.,2,8,19
AE_interstitial_pneumonia,AE interstitial pneumonia,Figure 6,Figure 6:Integrated summary,assigned integrated summary term;integrated term-outcome evidence,main,C,C_AE_ILD_synonym_or_component,clinical_outcome,AE_ILD,specific,primary_atlas,main,TRUE,TRUE,12,0.8,3,AE-ILD=12; progression=1; mortality=7,20,12,AE-ILD,All terms assigned to shared/outcome-facing categories by data-driven rules.;Term-outcome evidence underlying integrated Figure 6 summary.,Displayed according to current dictionary metadata and figure-specific support rules.,12,1,7
airway_disease,airway disease,Figure 6,Figure 6:Integrated summary,assigned integrated summary term;integrated term-outcome evidence,main,B,B_airway_disease,airway_disease,airway_disease,aggregate,sensitivity,sensitivity,FALSE,TRUE,31,2.08,2,AE-ILD=0; progression=5; mortality=7,12,7,mortality,All terms assigned to shared/outcome-facing categories by data-driven rules.;Term-outcome evidence underlying integrated Figure 6 summary.,Displayed according to current dictionary metadata and figure-specific support rules.,0,5,7
ICU_admission,ICU admission,Figure 6,Figure 6:Integrated summary,assigned integrated summary term;integrated term-outcome evidence,main,C,C_secondary_severe_outcome,clinical_outcome,severe_outcome,specific,sensitivity,sensitivity,FALSE,TRUE,7,0.47,3,AE-ILD=1; progression=2; mortality=5,8,5,mortality,All terms assigned to shared/outcome-facing categories by data-driven rules.;Term-outcome evidence underlying integrated Figure 6 summary.,Displayed according to current dictionary metadata and figure-specific support rules.,1,2,5
DLCO_decline,DLCO decline,Figure 6,Figure 6:Integrated summary,assigned integrated summary term;integrated term-outcome evidence,main,C,C_progression_component,clinical_outcome,functional_decline,specific,primary_atlas,main,TRUE,TRUE,17,1.14,2,AE-ILD=0; progression=4; mortality=3,7,4,progression,All terms assigned to shared/outcome-facing categories by data-driven rules.;Term-outcome evidence underlying integrated Figure 6 summary.,Displayed according to current dictionary metadata and figure-specific support rules.,0,4,3
TOLLIP,TOLLIP,Figure 6,Figure 6:Integrated summary,assigned integrated summary term;integrated term-outcome evidence,main,A,A_genetic,genetics,genetic_risk,specific,exploratory,exploratory,FALSE,TRUE,4,0.27,2,AE-ILD=0; progression=2; mortality=3,5,3,mortality,All terms assigned to shared/outcome-facing categories by data-driven rules.;Term-outcome evidence underlying integrated Figure 6 summary.,Displayed according to current dictionary metadata and figure-specific support rules.,0,2,3
